ID	Date pour le tri	Date pour l'affichage	Single	Vidéo	Image du single	Période	Commentaire si besoin	id	début (inclusif)	fin (inclusif)	périodes	texte	image (TEMPORAIRE)	où ça en est ?	Texte	Label
id	date	display_date	single_name	single_url	single_image	period	comment	id	start_date	end_date	period	text	image	status	text	value
90	03/06/2002	03/06/2002	Slow Burn	https://youtu.be/msRgCoeUZ9o	https://upload.wikimedia.org/wikipedia/en/6/61/Bowie_Slow_burn.jpg	Le quinqua apaisé										
91	16/09/2002	16/09/2002	Everyone Says 'Hi	https://youtu.be/2v0maqiXwwk	https://upload.wikimedia.org/wikipedia/en/6/67/Everyone_says_hi.jpg	Le quinqua apaisé										
92	01/10/2002	10/2002	I've Been Waiting for You	https://youtu.be/zNgsCmcIYKo	https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Bowie_I%27ve_been_waiting_for_you.jpg/220px-Bowie_I%27ve_been_waiting_for_you.jpg	Le quinqua apaisé										
93	29/09/2003	29/09/2003	New Killer Star	https://youtu.be/fwH1g2fW6Pc	https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Bowie_New_Killer_Star.jpg/220px-Bowie_New_Killer_Star.jpg	Le silence (période du 30 septembre 2003 au 7 janvier 2013)										
94	08/01/2013	08/01/2013	Where Are We Now ?	https://youtu.be/QWtsV50_-p4	https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/David_Bowie_Where_Are_We_Now_cover_artwork.jpg/220px-David_Bowie_Where_Are_We_Now_cover_artwork.jpg	La résurrection avant la mort										
95	25/02/2013	25/02/2013	The Stars (Are Out Tonight)	https://youtu.be/gH7dMBcg-gE	https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/David_Bowie_The_Stars_%28Are_Out_Tonight%29_cover_artwork.jpg/220px-David_Bowie_The_Stars_%28Are_Out_Tonight%29_cover_artwork.jpg	La résurrection avant la mort										
96	17/06/2013	17/06/2013	The Next Day	https://youtu.be/7wL9NUZRZ4I	https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/David_Bowie_-_The_Next_Day_single_cover_art.jpg/220px-David_Bowie_-_The_Next_Day_single_cover_art.jpg	La résurrection avant la mort										
97	19/08/2013	19/08/2013	Valentine's Day	https://youtu.be/S4R8HTIgHUU	https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/David_Bowie_-_Valentine%27s_Day_cover_art.jpg/220px-David_Bowie_-_Valentine%27s_Day_cover_art.jpg	La résurrection avant la mort										
98	16/12/2013	16/12/2013	Love is Lost (Hello Steve Reich Mix by James Murphy for the DFA)	https://youtu.be/VpXleysIs90	https://upload.wikimedia.org/wikipedia/en/thumb/1/12/David_Bowie_-_Love_Is_Lost_cover_art.jpg/220px-David_Bowie_-_Love_Is_Lost_cover_art.jpg	La résurrection avant la mort	La vidéo est quelquefois bloquée car inappropriée pour certains utilisateurs (je pense que c'est parce qu'on y voit des gens presque nus)									
99	10/11/2014	10/11/2014	Tis a Pity She Was a Whore	https://youtu.be/c7zJRAdPOPg	https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/David_Bowie_-_%27Tis_a_Pity_She_Was_a_Whore_cover_art.jpg/220px-David_Bowie_-_%27Tis_a_Pity_She_Was_a_Whore_cover_art.jpg	La résurrection avant la mort										
100	12/11/2014	12/11/2014	Sue (Or in a Season of Crime)	https://youtu.be/nFX1y62l9C4	https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/David_Bowie_-_Sue_%28Or_in_a_Season_of_Crime%29_cover_art.jpg/220px-David_Bowie_-_Sue_%28Or_in_a_Season_of_Crime%29_cover_art.jpg	La résurrection avant la mort										
101	19/11/2015	19/11/2015	Blackstar	https://youtu.be/kszLwBaC4Sw	https://upload.wikimedia.org/wikipedia/en/thumb/7/71/David_Bowie_-_Blackstar_song_cover_art.png/220px-David_Bowie_-_Blackstar_song_cover_art.png	La résurrection avant la mort										
102	17/12/2015	17/12/2015	Lazarus	https://youtu.be/y-JqH1M4Ya8	https://upload.wikimedia.org/wikipedia/en/thumb/3/35/David_Bowie_-_Lazarus_cover_art.jpg/220px-David_Bowie_-_Lazarus_cover_art.jpg	La résurrection avant la mort										
103	06/04/2016	6/4/2016	I Can't Give Everything Away	https://youtu.be/OZscv36UUHo	https://upload.wikimedia.org/wikipedia/en/8/80/David_Bowie_-_I_Can%27t_Give_Everything_Away_cover_art.jpg	La résurrection avant la mort										
104	07/01/2017	07/01/2017	No Plan	https://youtu.be/xIgdid8dsC8	https://upload.wikimedia.org/wikipedia/en/d/d1/No_Plan_EP_%28Front_Cover%29.jpg	La résurrection avant la mort	sorti après la mort									
